Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group6_100Org,conf_08,5,295.109,131.579
32,Group6_100Org,conf_08,11,320.472,128.428
32,Group6_100Org,conf_08,13,267.888,83.341
32,Group6_100Org,conf_09,5,292.595,124.74
32,Group6_100Org,conf_09,11,321.059,128.869
32,Group6_100Org,conf_09,13,268.368,83.095
32,Group6_100Org,conf_10,5,292.335,128.233
32,Group6_100Org,conf_10,11,320.903,129.23
32,Group6_100Org,conf_10,13,268.235,83.221
32,Group6_100Org,conf_11,5,295.1,131.621
32,Group6_100Org,conf_11,11,320.489,128.437
32,Group6_100Org,conf_11,13,267.881,83.331
32,Group6_100Org,conf_12,5,295.017,131.369
32,Group6_100Org,conf_12,11,320.334,128.671
32,Group6_100Org,conf_12,13,267.895,83.396
32,Group6_100Org,conf_13,5,295.088,131.665
32,Group6_100Org,conf_13,11,320.438,128.497
32,Group6_100Org,conf_13,13,267.886,83.332
32,Group6_100Org,conf_14,5,295.076,131.658
32,Group6_100Org,conf_14,11,320.429,128.544
32,Group6_100Org,conf_14,13,267.887,83.34
32,Group6_100Org,conf_15,5,294.58,139.646
32,Group6_100Org,conf_15,11,320.313,129.015
32,Group6_100Org,conf_15,13,267.781,83.435
32,Group6_100Org,conf_16,5,294.569,139.718
32,Group6_100Org,conf_16,11,320.225,129.13
32,Group6_100Org,conf_16,13,267.767,83.424
32,Group6_100Org,conf_17,5,296.11,131.273
32,Group6_100Org,conf_17,11,318.288,120.097
32,Group6_100Org,conf_17,13,267.632,83.19
32,Group6_100Org,conf_18,5,294.646,139.758
32,Group6_100Org,conf_18,11,320.405,128.851
32,Group6_100Org,conf_18,13,267.791,83.452
32,Group6_100Org,conf_19,5,296.085,131.407
32,Group6_100Org,conf_19,11,318.208,120.079
32,Group6_100Org,conf_19,13,267.649,83.186
32,Group6_100Org,conf_20,5,295.582,139.256
32,Group6_100Org,conf_20,11,318.136,120.395
32,Group6_100Org,conf_20,13,267.52,83.314
32,Group6_100Org,conf_21,5,294.781,132.39
32,Group6_100Org,conf_21,11,320.603,128.206
32,Group6_100Org,conf_21,13,267.333,83.467
32,Group6_100Org,conf_22,5,294.553,139.83
